text,label
"934 8616
i got a missed call from yo bitch",1
RT @KINGTUNCHI_: Fucking with a bad bitch you gone need some money lil homie!,1
"RT @eanahS__: @1inkkofrosess lol my credit ain't no where near good , but I know the right man for the job .. that ho nice though!",0
RT @Maxin_Betha Wipe the cum out of them faggot RT @80sbaby4life Contact lens is wildin can't see shit,1
Niggas cheat on they bitch and don't expect no pay back WHATSOEVER. Yall just as naive as these bitches.,1
"Mother asked what I wanted for Christmas this year. Replied with for her to not go crazy, and my sister to not be a bitch.",1
"That's real dedication. .. &#171;@arigold_88 This bitch got diarrhea and still here, shitting up the bathroom.&#187;",1
"Kiss IMO this conductor, it's 4:30 AM have some courtesy you bitch.",1
My momma keep talking to me like bitch gtf I'm on Twitter.,1
RT @karlos_budah: I kno this bitch a thot she wanna meet my momma now,1
like a bitch pic is flirting nowadays,1
@Nien_Nunb what did you search? Gay redneck episode 1 play?,1
"Halloween's over, and bitches still playing roles.",1
fucking queer,1
"Why bitches quick to have a nigga baby, then be suprised when she taking care of it by herself?",1
I stopped snapping on women and calling them bitches.,1
"@KeebitHalal @LogansWarning gotta love it when the islamofascist cow tries to make a retort about age, typical muzzie idiocy",1
"Idgaf about you flat chested hoes feelings either, you a grown ass man nigga.",1
So yall give farwells to Lulu yet did all but shit on Kris? Ok bitches... ok,1
@StunningStina their tortillas are trash though.,0
"RT @_sheswatsPOPPIN: js met a lil bitch wit a long name mufucka had more letters den Tennessee, I go gorilla ina pussy, RIP&#128527;",1
i need one of these around the world twitter bitches cause these local facebook hoes aint cuttin it lol,1
"RT @JeffDuncan_: JSU coach Omar Johnson: ""It's what u do against the ball. U throw it, hit it, catch it. Doesn't matter if the Yankees are &#8230;",0
"i seen a nigga dressed to impress, hop out da bus n a bitch wit a phatty, get off at his stop too. Say somethin...GOD THROWIN U DA LOB",1
2 or 3 hoes for everything &#128527;&#128520;&#128526;,1
"If I had hair, I would seriously go for a perm now. Genetics is a stone cold bitch.",1
Ima start friend zoning these hoes &#128514;&#128514;&#128514;,1
RT @bdha: http://t.co/zPrnmY7kQR What a shit heel.,1
This bitch pregnant again &#128064;&#128514;&#128514;,1
RT @davegetnmoney: We don't want no skinny bitches get out! WE WANT BIG BOOTY BITCHES!,1
RT @VibeLord: your opinion of me is highly irrelevant bitch,1
RT @BigSean: Suck my dick bitch RT @MaizeNBlue23: @bigsean not only are you terrible. You are why hip hop is dead,1
RT @rebellious_midy: Ugly bitches definitely disguste me &#128534; ewww yuck!,1
This hoe taken by the world smh,1
RT @CauseWereGuys: How to get unlimited pussy in high school http://t.co/0yaDezrREr,1
"RT @lovexlilyy: don't play games with a girl who can play better, bitch.",1
I'm just tryna get to sleep before the birds start getting rowdy.,0
Kiss imik this bitch just added another 50 seconds to her story I think its a new record.,1
Inde jus got me all hype at work!! I knew my bitch Candace ain't die,1
@panchoftf red and yellow it should be then,0
"I, for one, welcome our new Eastern Panhandle overlords, and hope they do a better job than the yokels who got us here in the first place.",0
@ronsonsolaqa I love you too pussy.... Lmaooo,1
@DrunkAtChurch @MzYummyDread Slide up on a bad bitch/Dat bitch look good,1
@strawberrycoca ling ling krunkchip,0
@saucygyro she's a dyke &amp; looks like she's 12,1
RT @dnumberbefore_2: She used to be more fun as a hoe ..this new you is to positive,1
"RT @YUNGRAJEE: No nigga ever ask before he hit either &#8220;@jaybeeTRENDz: Body counts don't matter ! YALL treat all bitches the same anyway, st&#8230;",1
"&#8220;@AshlynWynns: I'm a ""mud shark"" because I have black friends. Makes perfect sense. &#128514;&#128557;&#128514;&#128557; #idiotic&#8221; @",0
Shylock &amp; Wongs: 3 Incidents of Democrat Bigotry In 3 Weeks - Media Mum http://t.co/rX8ynPg1Yd via @BreitbartNews,0
Smile at the bitches who hate you.,1
See niggas they be mad and all these hoes go &#128584;,1
@kieffer_jason bitch wtf r u talking about and why tf r u still talking shit but not doing no action no thank for proving my point pussy boy,1
RT @Teamadeezy: Niggas is hoes 2,1
@rellyOnSMASH @LiveAndUncut my bitch do all that and still go out,1
@allsportsbruh you say waste a draft pick on Manziel when we have Mallet. that's why I'm telling you to delete your account. You're retarded,1
&#8220;@Condeezy3: What to do after the game....home alone and nothing to do...someone come chill?:) maybe go swimm&#8221; ima do ya bitch,1
I be chillin wit the bitches cuz a lotta niccas fake,1
fuck her rite in the pussy,1
RT @Chayeezy: When a bitch got you fucked up but you devoted your life to the Lord so you gotta stand there like you aint mad http://t.co/7&#8230;,1
RT @corey_emanuel: &#128557;&#128557;&#128557;&#128557; RT @ivyleague1908: SHAT!!!!!! RT @DirtRoadDon: When Deltas smell they own pussy http://t.co/3LojKQM8ZG,1
RT @RickRaze: Why would I be in a relationship theses hoes go still do them &#128514;&#128175;,1
"Damn ""@JonnieSantana: It's kinda trash man RT ""@80sbaby4life: How many of you actually have had a threesome. Honestly""""",1
@Benny_Balboa not to yall thou! Yalll fucking glad bag trash,1
@kieffer_jason @someone yea it's very true bitch,1
"everybody fuckin everybody bitch everybody wit the shits, thats lifee",1
@BradMich4Real thats shit gon be the death of these hoes...ion like it...,1
"RT @murrman5: ""Hun, I'm quitting my job and going to learn to become a psychic. Now I know what you're thinking, well not yet. I'm going to&#8230;",0
Thursdays really been trash this season @nfl,0
RT @letsargueboxing: @staycoolwheels screaming like a little bitch lmaooo,1
@Alan_Casillas haha shit niggah i wish,1
Nah we still up. RT @Tweets_NOchill: All the flat booty bitches asleep yet or Nah?,1
Get these hoe ass fuckboys off the stage. #VMAs,1
@josephljenkins Have heard some hillbilly grumblings that bugs worse in recent years because of MIC shutdown.,0
RT @RihannaHasAids: aight game over. dykes had to ruin it http://t.co/o0CAn6gb1p,1
@seansteiger31 yea cause I showed ya bitch ass,1
Seeing elder queer couples marry really is emotional. They get to live their final years with equality and with dignity.,1
"RT @Yankees: Gardy goes yardy again! He leads off the game with a HR for the second straight night, and it's 1-0 #Yankees!",0
"KaasPiet,bloemPiet.?lol men weet van gekkigheid niet meer hoe ze simpele oplossing tegen racisme moet maken.Zolang maar blanke beslissing is",0
RT @LettyBro_: Yall hoes super weakkkkkkkk,1
you ain't a real nigga without goal a to chase and a yellow bone bitch w/ some toes to paint,1
"RT @WolfpackAlan: Oreos: First you twist it, then you- aw crap, it broke.",1
